company_name,ric_code,esg_score,environment_scores,social_scores,governance_scores,ranks,total_industries
Jiangsu Expressway Co Ltd,600377.SS,62,71,50,71,26,100
Maanshan Iron & Steel Co Ltd,600808.SS,60,68,44,74,155,555
Melco Resorts & Entertainment Ltd,MLCO.O,84,89,83,80,7,322
TravelSky Technology Ltd,0696.HK,46,34,52,44,285,813
Xinjiang Goldwind Science & Technology Co Ltd,002202.SZ,56,76,50,38,25,71
China Minsheng Banking Corp Ltd,600016.SS,50,35,70,28,323,996
Ningbo Joyson Electronic Corp,600699.SS,16,0,4,59,215,231
COSCO Shipping Energy Transportation Co Ltd,600026.SS,59,66,39,79,51,219
Asian Citrus Holdings Ltd,0073.HK,39,55,31,36,225,375
CITIC Guoan Information Industry Co Ltd,000839.SZ,18,2,18,29,219,263
China Railway Construction Corp Ltd,601186.SS,35,27,19,70,148,224
Qinghai Salt Lake Industry Co Ltd,000792.SZ,33,23,16,78,219,326
Poly Developments and Holdings Group Co Ltd,600048.SS,58,47,48,79,113,400
Aluminum Corp of China Ltd,601600.SS,56,71,44,54,183,555
Country Garden Holdings Co Ltd,2007.HK,81,96,79,69,13,400
Shanghai Mechanical & Electrical Industry Co Ltd,600835.SS,28,23,16,50,432,554
Haitong Securities Co Ltd,600837.SS,69,66,48,86,46,375
Sino-Ocean Group Holding Ltd,3377.HK,57,47,54,70,120,400
Haitian International Holdings Ltd,1882.HK,59,73,37,70,168,554
China Communications Construction Co Ltd,601800.SS,63,52,67,73,55,224
Fosun International Ltd,0656.HK,67,74,72,59,50,305
Great Wall Motor Co Ltd,601633.SS,42,51,17,73,136,231
Huadong Medicine Co Ltd,000963.SZ,43,53,33,52,156,376
Xinxing Ductile Iron Pipes Co Ltd,000778.SZ,36,30,14,80,304,555
DHC Software Co Ltd,002065.SZ,32,36,36,28,511,813
China Petroleum & Chemical Corp,600028.SS,61,73,46,71,81,410
Tus Environmental Science and Technology Development Co Ltd,000826.SZ,19,30,9,24,372,443
NetEase Inc,NTES.O,68,72,70,64,66,813
Bank of Communications Co Ltd,601328.SS,54,57,60,46,259,996
Zoomlion Heavy Industry Science and Technology Co Ltd,000157.SZ,40,40,21,64,343,554
Tangshan Jidong Cement Co Ltd,000401.SZ,22,17,7,53,73,85
Yanzhou Coal Mining Co Ltd,600188.SS,74,81,57,81,5,55
Shenzhen Energy Group Co Ltd,000027.SZ,32,28,18,58,202,263
Semiconductor Manufacturing International Corp,0981.HK,52,47,62,40,90,232
Nine Dragons Paper (Holdings) Ltd,2689.HK,39,37,35,46,48,64
Shenzhen Kaifa Technology Co Ltd,000021.SZ,21,5,18,39,90,110
Shimao Group Holdings Ltd,0813.HK,61,78,47,60,97,400
Yunnan Tin Co Ltd,000960.SZ,58,55,47,82,161,555
Changchun High & New Technology Industries Group Inc,000661.SZ,51,43,46,65,117,376
Huadian Power International Corp Ltd,600027.SS,28,41,16,23,220,263
Angel Yeast Co Ltd,600298.SS,34,33,23,56,254,375
Fiberhome Telecommunication Technologies Co Ltd,600498.SS,58,48,63,59,37,124
Shanying International Holdings Co Ltd,600567.SS,49,43,37,76,36,74
Dongfang Electric Corp Ltd,600875.SS,52,60,26,75,235,554
BOE Technology Group Co Ltd,000725.SZ,67,84,77,34,20,120
Zhejiang China Commodities City Group Co Ltd,600415.SS,23,2,17,47,97,111
Tunghsu Optoelectronic Technology Co Ltd,000413.SZ,35,63,17,19,81,120
China Merchants Property Operation & Service Co Ltd,001914.SZ,9,6,7,14,389,400
Tianshui Huatian Technology Co Ltd,002185.SZ,13,9,7,28,222,232
Sinoma International Engineering Co Ltd,600970.SS,38,31,44,41,134,224
Shanxi Taigang Stainless Steel Co Ltd,000825.SZ,57,63,36,81,175,555
Ping An Bank Co Ltd,000001.SZ,50,34,67,32,327,996
Sinotruk Hong Kong Ltd,3808.HK,49,66,46,34,254,554
Sealand Securities Co Ltd,000750.SZ,59,56,49,68,93,375
China Molybdenum Co Ltd,603993.SS,74,85,68,69,58,555
Han's Laser Technology Industry Group Co Ltd,002008.SZ,39,46,10,67,350,554
Guangzhou R&F Properties Co Ltd,2777.HK,71,52,72,89,41,400
Shenzhen Kingdom SCI-Tech Co Ltd,600446.SS,35,0,26,52,459,813
China Resources Sanjiu Medical & Pharmaceutical Co Ltd,000999.SZ,41,63,45,19,166,376
China Oriental Group Co Ltd,0581.HK,37,49,25,40,297,555
Shanxi Xishan Coal and Electricity Power Co Ltd,000983.SZ,33,28,14,57,32,55
AVIC Jonhon Optronic Technology Co Ltd,002179.SZ,61,62,41,88,146,554
Oceanwide Holdings Co Ltd,000046.SZ,18,16,10,28,284,305
China Pacific Insurance Group Co Ltd,601601.SS,60,66,32,91,79,305
Oriental Pearl Group Co Ltd,600637.SS,31,17,21,50,161,256
Zhangzhou Pientzehuang Pharmaceutical Ltd,600436.SS,41,46,45,32,165,376
Jinyu Bio-Technology Co Ltd,600201.SS,67,57,60,85,61,376
Vinda International Holdings Ltd,3331.HK,61,66,63,52,30,94
Industrial Bank Co Ltd,601166.SS,36,26,48,24,565,996
China Citic Bank Corp Ltd,601998.SS,63,56,52,80,183,996
Hubei Jumpcan Pharmaceutical Co Ltd,600566.SS,24,13,21,36,266,376
Avicopter PLC,600038.SS,29,22,12,56,79,109
Ping An Insurance Group Co of China Ltd,601318.SS,60,69,56,62,80,305
Xiamen Tungsten Co Ltd,600549.SS,61,75,60,43,148,555
Pacific Securities Co Ltd,601099.SS,54,7,35,84,130,375
Anxin Trust Co Ltd,600816.SS,25,2,11,43,305,375
China National Building Material Co Ltd,3323.HK,53,60,33,72,33,85
China Jushi Co Ltd,600176.SS,32,13,32,45,92,118
Huaneng Power International Inc,600011.SS,41,49,34,37,161,263
China Life Insurance Co Ltd,601628.SS,75,37,72,91,29,305
Hengyi Petrochemical Co Ltd,000703.SZ,24,24,19,32,270,326
Yantai Changyu Pioneer Wine Co Ltd,000869.SZ,8,0,1,31,110,112
Avic Shenyang Aircraft Co Ltd,600760.SS,21,31,6,33,93,109
Newland Digital Technology Co Ltd,000997.SZ,35,0,24,52,17,34
Luenmei Quantum Co Ltd,600167.SS,50,65,23,57,16,38
Baidu Inc,BIDU.O,56,42,88,33,171,813
Zhejiang Huahai Pharmaceutical Co Ltd,600521.SS,28,22,32,25,232,376
Avic XiAn Aircraft Industry Group Co Ltd,000768.SZ,32,18,22,55,72,109
Sinolink Securities Co Ltd,600109.SS,50,14,44,66,150,375
Shanghai International Port Group Co Ltd,600018.SS,49,37,39,76,52,100
Shandong Hualu Hengsheng Chemical Co Ltd,600426.SS,24,32,7,36,274,326
PetroChina Co Ltd,601857.SS,52,59,54,41,125,410
Henan Shuanghui Investment & Development Co Ltd,000895.SZ,52,65,43,55,152,375
Tiandi Science & Technology Co Ltd,600582.SS,17,17,5,32,510,554
Tianneng Power International Ltd,0819.HK,38,38,21,69,146,231
Dr.Peng Telecom & Media Group Co Ltd,600804.SS,11,0,12,16,245,263
Zhejiang Juhua Co Ltd,600160.SS,27,30,21,32,253,326
Dalian Port PDA Co Ltd,601880.SS,21,12,16,38,92,100
COSCO SHIPPING Development Co Ltd,601866.SS,37,41,35,38,553,996
Zhejiang Wanfeng Auto Wheel Co Ltd,002085.SZ,35,22,41,42,157,231
NARI Technology Co Ltd,600406.SS,56,69,49,59,169,813
Jiangsu Yangnong Chemical Co Ltd,600486.SS,19,21,11,32,288,326
Sany Heavy Industry Co Ltd,600031.SS,53,74,29,59,223,554
Shanxi Xinghuacun Fen Wine Factory Co Ltd,600809.SS,23,18,26,22,89,112
Baoding Tianwei Baobian Electric Co Ltd,600550.SS,44,59,9,71,298,554
China National Medicines Corp Ltd,600511.SS,50,44,39,69,122,376
Liaoning Cheng Da Co Ltd,600739.SS,33,35,24,44,196,376
Zhejiang Nhu Co Ltd,002001.SZ,32,32,16,59,263,375
Shanghai Zhangjiang Hi-Tech Park Development Co Ltd,600895.SS,47,35,54,51,197,400
Suning.Com Co Ltd,002024.SZ,50,38,41,67,108,266
Sansteel Minguang Co Ltd Fujian,002110.SZ,26,28,18,37,358,555
Jiangsu Zhongtian Technology Co Ltd,600522.SS,56,63,43,65,40,124
China High Speed Transmission Equipment Group Co Ltd,0658.HK,57,66,64,43,23,71
Shandong Weigao Group Medical Polymer Co Ltd,1066.HK,54,41,32,89,88,329
Baoshan Iron & Steel Co Ltd,600019.SS,8,0,2,28,537,555
Guoxuan High-tech Co Ltd,002074.SZ,49,68,35,43,259,554
Unigroup Guoxin Microelectronics Co Ltd,002049.SZ,23,0,15,63,195,232
Dong-E-E-Jiao Co Ltd,000423.SZ,48,36,32,81,131,376
China Resources Double-Crane Pharmaceutical Co Ltd,600062.SS,42,45,37,50,160,376
Shanghai Electric Power Co Ltd,600021.SS,24,19,13,46,235,263
KWG Group Holdings Ltd,1813.HK,50,58,37,56,167,400
Wuxi Taiji Industry Ltd Corp,600667.SS,16,20,7,24,208,224
China Coal Energy Co Ltd,601898.SS,40,58,31,25,27,55
Topsec Technologies Group Inc,002212.SZ,53,6,45,73,207,813
China Railway Hi-tech Industry Corp Ltd,600528.SS,30,34,10,52,169,224
Shenergy Co Ltd,600642.SS,16,24,3,21,41,44
Want Want China Holdings Ltd,0151.HK,42,66,38,24,215,375
SINA Corp,SINA.O,15,0,20,15,778,813
Joincare Pharmaceutical Group Industry Co Ltd,600380.SS,65,52,57,85,67,376
Changjiang Securities Co Ltd,000783.SZ,28,6,26,36,289,375
Shandong Sun Paper Co Ltd,002078.SZ,34,16,26,77,48,74
Guoyuan Securities Co Ltd,000728.SZ,56,71,51,56,116,375
Tencent Holdings Ltd,0700.HK,82,73,83,84,13,813
Dongfeng Motor Group Co Ltd,0489.HK,62,70,47,77,56,231
Shenzhen Overseas Chinese Town Co Ltd,000069.SZ,43,33,49,42,155,322
Shanghai Construction Group Co Ltd,600170.SS,48,54,22,76,97,224
